Query,Type,State,City
"plasma donation center, AL",General,AL,
"CSL Plasma, AL",Brand,AL,
"BioLife Plasma, AL",Brand,AL,
"Grifols Biomat, AL",Brand,AL,
"Octapharma Plasma, AL",Brand,AL,
"KEDPLASMA, AL",Brand,AL,
"Interstate Blood Bank, AL",Brand,AL,
"ImmunoTek Bio Centers, AL",Brand,AL,
"Talecris Plasma Resources, AL",Brand,AL,
"Blood and Plasma Research, AL",Brand,AL,
"B Positive Plasma, AL",Brand,AL,
"Freedom Plasma, AL",Brand,AL,
"GCAM Plasma, AL",Brand,AL,
"ADMA BioCenters, AL",Brand,AL,
"Southern Blood Services, AL",Brand,AL,
"plasma donation center, Birmingham AL",General,AL,Birmingham
"CSL Plasma, Birmingham AL",Brand,AL,Birmingham
"BioLife Plasma, Birmingham AL",Brand,AL,Birmingham
"Grifols Biomat, Birmingham AL",Brand,AL,Birmingham
"Octapharma Plasma, Birmingham AL",Brand,AL,Birmingham
"KEDPLASMA, Birmingham AL",Brand,AL,Birmingham
"Interstate Blood Bank, Birmingham AL",Brand,AL,Birmingham
"ImmunoTek Bio Centers, Birmingham AL",Brand,AL,Birmingham
"Talecris Plasma Resources, Birmingham AL",Brand,AL,Birmingham
"Blood and Plasma Research, Birmingham AL",Brand,AL,Birmingham
"B Positive Plasma, Birmingham AL",Brand,AL,Birmingham
"Freedom Plasma, Birmingham AL",Brand,AL,Birmingham
"GCAM Plasma, Birmingham AL",Brand,AL,Birmingham
"ADMA BioCenters, Birmingham AL",Brand,AL,Birmingham
"Southern Blood Services, Birmingham AL",Brand,AL,Birmingham
"plasma donation center, Montgomery AL",General,AL,Montgomery
"CSL Plasma, Montgomery AL",Brand,AL,Montgomery
"BioLife Plasma, Montgomery AL",Brand,AL,Montgomery
"Grifols Biomat, Montgomery AL",Brand,AL,Montgomery
"Octapharma Plasma, Montgomery AL",Brand,AL,Montgomery
"KEDPLASMA, Montgomery AL",Brand,AL,Montgomery
"Interstate Blood Bank, Montgomery AL",Brand,AL,Montgomery
"ImmunoTek Bio Centers, Montgomery AL",Brand,AL,Montgomery
"Talecris Plasma Resources, Montgomery AL",Brand,AL,Montgomery
"Blood and Plasma Research, Montgomery AL",Brand,AL,Montgomery
"B Positive Plasma, Montgomery AL",Brand,AL,Montgomery
"Freedom Plasma, Montgomery AL",Brand,AL,Montgomery
"GCAM Plasma, Montgomery AL",Brand,AL,Montgomery
"ADMA BioCenters, Montgomery AL",Brand,AL,Montgomery
"Southern Blood Services, Montgomery AL",Brand,AL,Montgomery
"plasma donation center, Mobile AL",General,AL,Mobile
"CSL Plasma, Mobile AL",Brand,AL,Mobile
